KEY,CN,EN
STR_UIVIEWALERT_MSG_SHOP_START_BUY,正在连接中请耐心等待!,"In the connection, please be patient!"
STR_UIVIEWALERT_YES_SHOP_START_BUY,取消,Cancel
STR_UIVIEWALERT_TITLE_SHOP_BUY_FAIL,购买失败,Buy failure
STR_UIVIEWALERT_MSG_SHOP_BUY_FAIL,"购买失败或者被用户取消购买！,请检查网络或者重试","Buy failed or canceled by user, please check the network or try again"
STR_UIVIEWALERT_YES_SHOP_BUY_FAIL,知道了,I known
SHARE_TITLE,分享,Share
SHARE_TITLE_WEIXIN,微信好友,WeChat
SHARE_TITLE_WEIXINFRIEND,朋友圈,Moments
SHARE_TITLE_QQ,QQ好友,QQ
SHARE_TITLE_QQZONE,QQ空间,QQZone
SHARE_TITLE_WEIBO,微博,Weibo
SHARE_TITLE_SMS,短信,SMS
SHARE_TITLE_EMAIL,邮箱,Email
STR_PARENT_GATE_TITLE_HEAD,如果您是家长请按,If you are a parent please press
STR_PARENT_GATE_TITLE_END,2秒以上,2 seconds or more
STR_UIVIEWALERT_TITLE_FIRST_USE_FUNCTION,视频,Video
STR_UIVIEWALERT_MSG_FIRST_USE_FUNCTION,第一次使用该功能需要观看视频,The first use of this function needs to watch video
STR_UIVIEWALERT_YES_FIRST_USE_FUNCTION,立即观看,Watch immediately
STR_UIVIEWALERT_MSG_ADVIDEO_FAIL,”无法观看视频,请检查网络是否正常或者稍后再试!”,”Can't watch video, please check whether the network is normal or try again later!”
STR_UIVIEWALERT_YES_ADVIDEO_FAIL,知道了,Oh I see
